zip,state,city,lat,lng
98188,WA,Tukwila,47.449808,-122.281159
98198,WA,Des Moines,47.407286,-122.309559
98199,WA,Seattle,47.648845,-122.396357
98201,WA,Everett,47.988431,-122.200571
98203,WA,Everett,47.941937,-122.221846
98204,WA,Everett,47.901659,-122.247217
98205,WA,Everett,47.990065,-122.115759
98208,WA,Everett,47.894822,-122.198722
98220,WA,Acme,48.675248,-122.191391
98221,WA,Anacortes,48.500438,-122.630873
98223,WA,Arlington,48.18293,-122.112126
98224,WA,Baring,47.757787,-121.44757
98225,WA,Bellingham,48.748957,-122.488676
98226,WA,Bellingham,48.762763,-122.441457
98230,WA,Blaine,48.963572,-122.732327
98232,WA,Bow,48.562037,-122.413438
98233,WA,Burlington,48.478577,-122.33449
98236,WA,Clinton,47.950845,-122.391588
98237,WA,Concrete,48.530962,-121.664294
98239,WA,Coupeville,48.218911,-122.682346
98240,WA,Custer,48.937412,-122.622571
98241,WA,Darrington,48.249285,-121.591807
98244,WA,Glacier,48.803366,-122.153957
98245,WA,Eastsound,48.665554,-122.937045
98247,WA,Everson,48.90447,-122.332474
98248,WA,Ferndale,48.862531,-122.595293
98249,WA,Freeland,48.03417,-122.564086
98250,WA,Friday Harbor,48.545416,-123.094717
98252,WA,Granite Falls,48.078977,-121.942752
98253,WA,Greenbank,48.124432,-122.587086
98257,WA,La Conner,48.409306,-122.53134
98258,WA,Lake Stevens,48.017103,-122.067153
98260,WA,Langley,48.018672,-122.452992
98261,WA,Lopez,48.520804,-122.967434
98262,WA,Lummi Island,48.712765,-122.682285
98263,WA,Lyman,48.525744,-122.016183
98264,WA,Lynden,48.937225,-122.459153
98270,WA,Marysville,48.065639,-122.156168
98271,WA,Marysville,48.096572,-122.197956
98272,WA,Monroe,47.85853,-121.947376
98273,WA,Mount Vernon,48.416427,-122.326548
98275,WA,Mukilteo,47.919896,-122.301906
98277,WA,Oak Harbor,48.315096,-122.637439
98278,WA,Whidbey Island N,48.295271,-122.69005
98279,WA,Olga,48.655526,-122.836224
98281,WA,Point Roberts,48.987876,-123.055474
98283,WA,Rockport,48.470388,-121.555352
98284,WA,Sedro Woolley,48.527405,-122.232943
98288,WA,Skykomish,47.692158,-121.371297
98290,WA,Snohomish,47.895381,-122.071562
98292,WA,Stanwood,48.201067,-122.377978
98294,WA,Sultan,47.858942,-121.736869
98295,WA,Sumas,48.970763,-122.207425
98303,WA,Anderson Island,47.15872,-122.696025
98304,WA,Ashford,46.753121,-121.989791
98305,WA,Beaver,48.067263,-124.305424
98310,WA,Bremerton,47.601916,-122.629913
98312,WA,Bremerton,47.575424,-122.695786
98314,WA,Puget Sound Nava,47.746255,-122.724354
98315,WA,Silverdale,47.692017,-122.716106
98320,WA,Brinnon,47.677596,-122.937509
98321,WA,Buckley,47.152449,-122.062098
98323,WA,Carbonado,47.080242,-122.051339
98325,WA,Chimacum,47.98607,-122.788323
98326,WA,Clallam Bay,48.225486,-124.201512
98328,WA,Eatonville,46.870778,-122.269626
98329,WA,Gig Harbor,47.378579,-122.7
98330,WA,Elbe,46.766607,-122.150344
98331,WA,Forks,47.928732,-124.398949
98332,WA,Gig Harbor,47.3607,-122.600144
98333,WA,Fox Island,47.25238,-122.628579
98335,WA,Gig Harbor,47.300154,-122.608377
98336,WA,Glenoma,46.528266,-122.099014
98338,WA,Graham,47.024575,-122.293648
98339,WA,Port Hadlock,48.034531,-122.768151
98340,WA,Hansville,47.906143,-122.565509
98346,WA,Kingston,47.810844,-122.525503
98349,WA,Home,47.247366,-122.74273
98351,WA,Longbranch,47.200737,-122.756126
98354,WA,Milton,47.24827,-122.315514
98355,WA,Mineral,46.709635,-122.186056
98356,WA,Morton,46.558056,-122.249573
98358,WA,Nordland,48.04321,-122.692553
98359,WA,Olalla,47.424088,-122.574512
98360,WA,Orting,47.082206,-122.185978
98361,WA,Packwood,46.650038,-121.655254
98362,WA,Port Angeles,48.106489,-123.438442
98365,WA,Port Ludlow,47.922192,-122.689615
98366,WA,South Park Villa,47.504838,-122.615276
98368,WA,Port Townsend,48.104012,-122.794457
98370,WA,Poulsbo,47.742278,-122.627721
98371,WA,Puyallup,47.199123,-122.315097
98372,WA,Puyallup,47.204202,-122.273415
98373,WA,Puyallup,47.128363,-122.321868
98374,WA,Puyallup,47.142427,-122.265248
98376,WA,Quilcene,47.832429,-122.858304
98377,WA,Randle,46.549195,-121.855533
98380,WA,Seabeck,47.625497,-122.822685
98381,WA,Sekiu,48.303166,-124.468467
98382,WA,Sequim,48.088136,-123.119814
98383,WA,Silverdale,47.662139,-122.698054
98387,WA,Spanaway,47.073218,-122.394336
98388,WA,Steilacoom,47.170369,-122.588837
98390,WA,Bonney Lake,47.188801,-122.180275
98392,WA,Suquamish,47.734303,-122.557295
98394,WA,Vaughn,47.330921,-122.773598
98402,WA,Tacoma,47.254508,-122.440536
98403,WA,Tacoma,47.26428,-122.457538
98404,WA,Tacoma,47.211312,-122.412625
98405,WA,Tacoma,47.248351,-122.46435
98406,WA,Tacoma,47.26325,-122.499349
98407,WA,Tacoma,47.282479,-122.503881
98408,WA,Tacoma,47.207267,-122.444381
98409,WA,Tacoma,47.20381,-122.482503
98421,WA,Tacoma,47.266373,-122.401457
98422,WA,Tacoma,47.294805,-122.398349
98424,WA,Fife,47.243632,-122.350962
98433,WA,Fort Lewis,47.100864,-122.583486
98439,WA,Lakewood Center,47.122905,-122.529326
98443,WA,Tacoma,47.204369,-122.372815
98444,WA,Parkland,47.156553,-122.448842
98445,WA,Parkland,47.133967,-122.411614
98446,WA,Parkland,47.14041,-122.37189
98465,WA,Tacoma,47.249139,-122.527272
98466,WA,Fircrest,47.22788,-122.53503
98467,WA,Tacoma,47.205395,-122.533562
98498,WA,Lakewood Center,47.164269,-122.555357
98499,WA,Lakewood Center,47.160786,-122.509074
98501,WA,Olympia,47.012906,-122.876311
98502,WA,Olympia,47.029828,-122.95214
98503,WA,Lacey,47.023967,-122.782665
98506,WA,Lacey,47.076259,-122.832844
98520,WA,Aberdeen,46.984293,-123.79629
98524,WA,Allyn,47.385004,-122.853571
98526,WA,Amanda Park,47.470579,-123.907375
98528,WA,Bear Creek,47.454956,-122.822381
98531,WA,Centralia,46.724635,-122.967068
98532,WA,Chehalis,46.638193,-122.965764
98533,WA,Cinebar,46.567131,-122.566005
98535,WA,Copalis Beach,47.065044,-124.135881
98536,WA,Copalis Crossing,47.12535,-124.13471
98537,WA,Cosmopolis,46.953789,-123.77394
98538,WA,Curtis,46.558372,-123.156974
98541,WA,Elma,47.005813,-123.39969
98542,WA,Ethel,46.53581,-122.776009
98546,WA,Grapeview,47.305783,-122.949742
98547,WA,Grayland,46.853201,-124.056194
98548,WA,Hoodsport,47.423526,-123.173932
98550,WA,Hoquiam,46.982269,-123.884169
98552,WA,Humptulips,47.135632,-123.971695
98555,WA,Lilliwaup,47.512773,-123.063119
98557,WA,Mc Cleary,47.053987,-123.273301
98560,WA,Matlock,47.177545,-123.337638
98562,WA,Moclips,47.222619,-124.20438
98563,WA,Montesano,47.09013,-123.500584
98564,WA,Mossyrock,46.513136,-122.478935
98568,WA,Oakville,46.843366,-123.249329
98569,WA,Ocean City,46.982905,-124.15323
98570,WA,Onalaska,46.573016,-122.707503
98571,WA,Pacific Beach,47.198144,-124.158833
98572,WA,Pe Ell,46.56558,-123.285244
98575,WA,Quinault,47.448505,-123.803744
98576,WA,Rainier,46.882942,-122.679468
98577,WA,Raymond,46.671046,-123.692889
98579,WA,Rochester,46.819295,-123.040634
98580,WA,Roy,46.956048,-122.448271
98581,WA,Ryderwood,46.375176,-123.043134
98582,WA,Salkum,46.515059,-122.645364
98584,WA,Shelton,47.20863,-123.072862
98585,WA,Silver Creek,46.549077,-122.475716
98586,WA,South Bend,46.6544,-123.820315
98587,WA,Taholah,47.340711,-124.2827
98588,WA,Tahuya,47.435618,-122.921126
98589,WA,Tenino,46.864119,-122.849269
98590,WA,Tokeland,46.746874,-124.046008
98591,WA,Toledo,46.439552,-122.826559
98592,WA,Union,47.351305,-123.034364
98593,WA,Vader,46.398505,-122.958493
98595,WA,Westport,46.883619,-124.106055
98596,WA,Winlock,46.494014,-122.915806
98597,WA,Yelm,46.920589,-122.588049
98601,WA,Amboy,45.9195,-122.457418
98602,WA,Appleton,45.909041,-121.148618
98603,WA,Ariel,45.995154,-122.46769
98604,WA,Battle Ground,45.790667,-122.531845
98605,WA,Cook,45.6341,-121.175778
98606,WA,Brush Prairie,45.730432,-122.484342
98607,WA,Camas,45.605772,-122.414231
98610,WA,Carson,45.749332,-121.835138
98611,WA,Castle Rock,46.278291,-122.9139
98612,WA,Cathlamet,46.195383,-123.362716
98613,WA,Centerville,45.703183,-120.945973
98616,WA,Cougar,46.069012,-122.294186
98619,WA,Glenwood,46.007104,-121.28849
98620,WA,Goldendale,45.832021,-120.812981
98621,WA,Grays River,46.353481,-123.588845
98624,WA,Ilwaco,46.314214,-124.02822
98625,WA,Kalama,46.011229,-122.816588
98626,WA,Kelso,46.148491,-122.886994
98628,WA,Klickitat,45.751534,-121.229231
98629,WA,La Center,45.880587,-122.623972
98631,WA,Long Beach,46.377369,-124.047041
98632,WA,Longview,46.151354,-122.963421
98635,WA,Lyle,45.74495,-121.250112
98638,WA,Naselle,46.352758,-123.804381
98640,WA,Ocean Park,46.502867,-124.043582
98642,WA,Ridgefield,45.784634,-122.693354
98643,WA,Rosburg,46.307076,-123.657105
98645,WA,Silverlake,46.316322,-122.764886
98647,WA,Skamokawa,46.295186,-123.43316
98648,WA,Stevenson,45.688173,-121.909346
98649,WA,Toutle,46.295605,-122.647696
98650,WA,Trout Lake,45.982789,-121.516272
98651,WA,Underwood,45.740872,-121.597408
98660,WA,Vancouver,45.64183,-122.68014
98661,WA,Vancouver,45.641807,-122.625146
98662,WA,Orchards,45.674519,-122.576182
98663,WA,Vancouver,45.6514,-122.660385
98664,WA,Vancouver,45.623086,-122.576741
98665,WA,Hazel Dell,45.68217,-122.664223
98670,WA,Wahkiacus,45.815567,-121.148586
98671,WA,Washougal,45.595921,-122.310396
98672,WA,White Salmon,45.755142,-121.479459
98674,WA,Woodland,45.921859,-122.71256
98675,WA,Yacolt,45.862247,-122.427545
98682,WA,Vancouver,45.664399,-122.521224
98684,WA,Cascade Park,45.617522,-122.524969
98685,WA,Felida,45.707313,-122.682474
98686,WA,Vancouver,45.712017,-122.632226
98801,WA,Wenatchee,47.425269,-120.327345
98802,WA,East Wenatchee,47.418596,-120.273136
98812,WA,Brewster,48.120641,-119.771999
98813,WA,Bridgeport,48.016083,-119.702772
98814,WA,Carlton,48.252615,-120.10551
98815,WA,Cashmere,47.517293,-120.503274
98816,WA,Chelan,47.848263,-120.027306
98822,WA,Entiat,47.705653,-120.276031
98823,WA,Ephrata,47.277051,-119.533582
98826,WA,Leavenworth,47.6438,-120.674792
98827,WA,Loomis,48.869627,-119.642675
98828,WA,Malaga,47.355306,-120.208562
98830,WA,Mansfield,47.902136,-119.405315
98831,WA,Manson,47.895764,-120.148963
98832,WA,Marlin,47.320929,-119.090897
98833,WA,Mazama,48.597728,-120.38796
98834,WA,Methow,48.09001,-120.0059
98837,WA,Moses Lake,47.137363,-119.289149
98840,WA,Okanogan,48.351328,-119.604563
98841,WA,Omak,48.414347,-119.527156
98843,WA,Orondo,47.696928,-120.172143
98844,WA,Oroville,48.939681,-119.403236
98845,WA,Palisades,47.469367,-119.802264
98846,WA,Pateros,48.059147,-119.913322
98847,WA,Peshastin,47.581294,-120.613928
98848,WA,Quincy,47.197574,-119.845922
98849,WA,Riverside,48.487567,-119.580316
98850,WA,Rock Island,47.370558,-120.137794
98851,WA,Soap Lake,47.383034,-119.485962
98852,WA,Stehekin,48.298034,-120.755185
98855,WA,Tonasket,48.71944,-119.394252
98856,WA,Twisp,48.363231,-120.135035
98857,WA,Warden,46.97697,-119.053932
98858,WA,Waterville,47.62951,-119.988743
98859,WA,Wauconda,48.822449,-118.946947
98862,WA,Winthrop,48.475607,-120.180468
98901,WA,Terrace Heights,46.606991,-120.477336
98902,WA,Yakima,46.593393,-120.531084
98903,WA,Union Gap,46.5572,-120.556587
98908,WA,Wide Hollow,46.605865,-120.605175
98922,WA,Cle Elum,47.206319,-120.968505
98923,WA,Cowiche,46.66611,-120.714893
98926,WA,Ellensburg,46.999632,-120.516274
98930,WA,Grandview,46.253846,-119.915734
98932,WA,Granger,46.348045,-120.181848
98933,WA,Harrah,46.410383,-120.573606
98935,WA,Mabton,46.212082,-120.015141
98936,WA,Moxee,46.554205,-120.368463
98937,WA,White Pass,46.735335,-120.826699
98938,WA,Outlook,46.352497,-120.097005
98942,WA,Selah,46.67671,-120.540813
98944,WA,Sunnyside,46.321273,-120.012631
98946,WA,Thorp,47.017785,-120.678557
98947,WA,Tieton,46.706331,-120.747275
98948,WA,Toppenish,46.375123,-120.330534
98951,WA,Wapato,46.45066,-120.426484
98952,WA,White Swan,46.371558,-120.745317
98953,WA,Zillah,46.415777,-120.266161
99003,WA,Chattaroy,47.919178,-117.29209
99004,WA,Cheney,47.494257,-117.583372
99005,WA,Colbert,47.841093,-117.375895
99006,WA,Deer Park,47.948615,-117.443559
99008,WA,Edwall,47.537896,-117.907095
99009,WA,Elk,48.020523,-117.296253
99011,WA,Fairchild Air Fo,47.613068,-117.643746
99012,WA,Fairfield,47.398726,-117.192054
99013,WA,Ford,47.916873,-117.811858
99016,WA,Greenacres,47.658357,-117.156801
99017,WA,Lamont,47.17304,-117.830239
99018,WA,Latah,47.303815,-117.16884
99019,WA,Liberty Lake,47.651672,-117.083808
99021,WA,Mead,47.793268,-117.311716
99022,WA,Espanola,47.583696,-117.679351
99023,WA,Mica,47.553814,-117.163711
99025,WA,Newman Lake,47.727371,-117.064041
99026,WA,Nine Mile Falls,47.801945,-117.589359
99027,WA,Otis Orchards,47.70273,-117.11209
99029,WA,Reardan,47.705407,-117.866264
99030,WA,Rockford,47.452804,-117.131842
99031,WA,Spangle,47.4338,-117.382696
99032,WA,Sprague,47.324725,-117.989684
99033,WA,Tekoa,47.227081,-117.081919
99034,WA,Tumtum,47.898173,-117.698996
99036,WA,Valleyford,47.529176,-117.268601
99037,WA,Veradale,47.642103,-117.197706
99039,WA,Waverly,47.335393,-117.233108
99040,WA,Wellpinit,47.86974,-117.985646
99101,WA,Addy,48.44769,-117.892383
99103,WA,Almira,47.763175,-118.91225
99105,WA,Benge,46.867636,-117.969895
99107,WA,Boyds,48.691919,-118.19906
99109,WA,Chewelah,48.287585,-117.77539
99110,WA,Clayton,47.955206,-117.574021
99111,WA,Colfax,46.879996,-117.366975
99113,WA,Colton,46.590098,-117.169243
99114,WA,Colville,48.57799,-117.864463
99115,WA,Coulee City,47.596571,-119.27582
99116,WA,Coulee Dam,48.173861,-119.180907
99117,WA,Creston,47.797681,-118.530656
99118,WA,Curlew,48.910775,-118.645182
99119,WA,Cusick,48.391513,-117.329464
99121,WA,Danville,48.972524,-118.488408
99122,WA,Davenport,47.680855,-118.166657
99123,WA,Electric City,47.926446,-119.036728
99125,WA,Endicott,46.936407,-117.723005
99126,WA,Evans,48.745787,-118.00012
99128,WA,Farmington,47.084742,-117.076327
99129,WA,Fruitland,47.979746,-118.215906
99130,WA,Garfield,46.994639,-117.152293
99131,WA,Gifford,48.22287,-118.12989
99133,WA,Grand Coulee,47.938511,-118.997835
99134,WA,Harrington,47.4555,-118.277793
99135,WA,Hartline,47.725631,-119.104467
99137,WA,Hunters,48.133261,-118.152491
99138,WA,Inchelium,48.292411,-118.355166
99139,WA,Ione,48.713023,-117.404859
99140,WA,Keller,48.023594,-118.654731
99141,WA,Kettle Falls,48.636375,-118.054801
99143,WA,Lacrosse,46.771684,-117.770277
99147,WA,Lincoln,47.78204,-118.481012
99148,WA,Loon Lake,48.078393,-117.632496
99150,WA,Malo,48.81862,-118.623712
99153,WA,Metaline Falls,48.859747,-117.36332
99156,WA,Newport,48.169465,-117.150784
99157,WA,Northport,48.924663,-117.793052
99158,WA,Oakesdale,47.080556,-117.280326
99159,WA,Odessa,47.339491,-118.698316
99161,WA,Palouse,46.907555,-117.085475
99163,WA,Pullman,46.735247,-117.172936
99166,WA,Republic,48.670366,-118.699942
99167,WA,Rice,48.406169,-118.124865
99169,WA,Ritzville,47.131528,-118.395812
99170,WA,Rosalia,47.221777,-117.41468
99171,WA,Saint John,47.075539,-117.573002
99173,WA,Springdale,47.992737,-117.873273
99176,WA,Thornton,47.12525,-117.386416
99179,WA,Uniontown,46.525818,-117.090756
99180,WA,Usk,48.295969,-117.318947
99181,WA,Valley,48.135114,-117.760967
99185,WA,Wilbur,47.741012,-118.706271
99201,WA,Spokane,47.666485,-117.436527
99202,WA,Spokane,47.654741,-117.380972
99203,WA,Spokane,47.629443,-117.404121
99204,WA,Spokane,47.640682,-117.471896
99205,WA,Spokane,47.69641,-117.439912
99206,WA,Spokane,47.649588,-117.258126
99207,WA,Spokane,47.697712,-117.374565
99208,WA,Spokane,47.737434,-117.435207
99212,WA,Spokane,47.668598,-117.304853
99216,WA,Spokane,47.663389,-117.219307
99218,WA,Spokane,47.755648,-117.4146
99223,WA,Spokane,47.61558,-117.362215
99301,WA,Pasco,46.249183,-119.104387
99320,WA,Benton City,46.280624,-119.491349
99321,WA,Beverly,46.848429,-119.912074
99322,WA,Bickleton,45.959687,-120.104223
99324,WA,College Place,46.045723,-118.385338
99326,WA,Connell,46.66426,-118.85454
99327,WA,Cunningham,46.757333,-119.107604
99328,WA,Dayton,46.307459,-117.973791
99330,WA,Eltopia,46.474996,-119.101333
99336,WA,Kennewick,46.210913,-119.167951
99337,WA,Kennewick,46.181387,-119.138289
99341,WA,Lind,46.955954,-118.706057
99343,WA,Mesa,46.578223,-119.137324
99344,WA,Mattawa,46.792518,-119.316405
99345,WA,Paterson,45.991139,-119.755873
99346,WA,Plymouth,46.038184,-119.502998
99347,WA,Pomeroy,46.469838,-117.599282
99348,WA,Prescott,46.353879,-118.409663
99350,WA,Prosser,46.223183,-119.771014
99352,WA,Richland,46.283265,-119.289201
99356,WA,Roosevelt,45.82962,-120.356611
99357,WA,Royal City,46.91557,-119.581473
99360,WA,Lowden,46.04851,-118.655411
99361,WA,Waitsburg,46.269092,-118.144734
99362,WA,Walla Walla,46.061373,-118.331544
99371,WA,Washtucna,46.820912,-118.286203
99401,WA,Anatone,46.128466,-117.088316
99402,WA,Asotin,46.134318,-117.001548
99403,WA,Clarkston,46.394622,-117.064457
